MODEL,SCENARIO,REGION,,,
GCAM4,SSP5-Baseline,World,,,
UNIT,billions/million,million,EJ/billion,GtC/EJ,
YEARS,GDP/Pop,Population,Ener/GDP,Emiss/Ener,Emissions|CO2
2086,101.9910679,7990.7672,0.002028195,0.017473336,28.61502016
2087,104.1955222,7953.9809,0.001994456,0.017470122,28.64404584
2088,106.3999765,7917.1946,0.001960716,0.017466909,28.67307152
2089,108.6044307,7880.4083,0.001926977,0.017463695,28.70209719
2090,110.808885,7843.622,0.001893238,0.017460481,28.73112287
2091,113.4544284,7798.1112,0.001865315,0.017449174,28.69760939
2092,116.0999718,7752.6004,0.001837393,0.017437868,28.66409591
2093,118.7455152,7707.0896,0.001809471,0.017426561,28.63058243
2094,121.3910585,7661.5788,0.001781549,0.017415254,28.59706895
2095,124.0366019,7616.068,0.001753626,0.017403948,28.56355547
2096,126.6821453,7570.5572,0.001725704,0.017392641,28.53004199
2097,129.3276887,7525.0464,0.001697782,0.017381335,28.49652851
2098,131.9732321,7479.5356,0.001669859,0.017370028,28.46301504
2099,134.6187755,7434.0248,0.001641937,0.017358721,28.42950156
2100,137.2643189,7388.514,0.001614015,0.017347415,28.39598808
2101,137.2643189,7388.514,0.001614015,0.017347415,28.39598808
2102,137.2643189,7388.514,0.001614015,0.017347415,28.39598808
2103,137.2643189,7388.514,0.001614015,0.017347415,28.39598808
2104,137.2643189,7388.514,0.001614015,0.017347415,28.39598808
2105,137.2643189,7388.514,0.001614015,0.017347415,28.39598808
2106,137.2643189,7388.514,0.001614015,0.017347415,28.39598808
2107,137.2643189,7388.514,0.001614015,0.017347415,28.39598808
2108,137.2643189,7388.514,0.001614015,0.017347415,28.39598808
2109,137.2643189,7388.514,0.001614015,0.017347415,28.39598808
2110,137.2643189,7388.514,0.001614015,0.017347415,28.39598808
2111,137.2643189,7388.514,0.001614015,0.017347415,28.39598808
2112,137.2643189,7388.514,0.001614015,0.017347415,28.39598808
2113,137.2643189,7388.514,0.001614015,0.017347415,28.39598808
2114,137.2643189,7388.514,0.001614015,0.017347415,28.39598808
2115,137.2643189,7388.514,0.001614015,0.017347415,28.39598808
2116,137.2643189,7388.514,0.001614015,0.017347415,28.39598808
2117,137.2643189,7388.514,0.001614015,0.017347415,28.39598808
2118,137.2643189,7388.514,0.001614015,0.017347415,28.39598808
2119,137.2643189,7388.514,0.001614015,0.017347415,28.39598808
2120,137.2643189,7388.514,0.001614015,0.017347415,28.39598808
2121,137.2643189,7388.514,0.001614015,0.017347415,28.39598808
2122,137.2643189,7388.514,0.001614015,0.017347415,28.39598808
2123,137.2643189,7388.514,0.001614015,0.017347415,28.39598808
2124,137.2643189,7388.514,0.001614015,0.017347415,28.39598808
2125,137.2643189,7388.514,0.001614015,0.017347415,28.39598808
2126,137.2643189,7388.514,0.001614015,0.017347415,28.39598808
2127,137.2643189,7388.514,0.001614015,0.017347415,28.39598808
2128,137.2643189,7388.514,0.001614015,0.017347415,28.39598808
2129,137.2643189,7388.514,0.001614015,0.017347415,28.39598808
2130,137.2643189,7388.514,0.001614015,0.017347415,28.39598808
2131,137.2643189,7388.514,0.001614015,0.017347415,28.39598808
2132,137.2643189,7388.514,0.001614015,0.017347415,28.39598808
2133,137.2643189,7388.514,0.001614015,0.017347415,28.39598808
2134,137.2643189,7388.514,0.001614015,0.017347415,28.39598808
2135,137.2643189,7388.514,0.001614015,0.017347415,28.39598808
2136,137.2643189,7388.514,0.001614015,0.017347415,28.39598808
2137,137.2643189,7388.514,0.001614015,0.017347415,28.39598808
2138,137.2643189,7388.514,0.001614015,0.017347415,28.39598808
2139,137.2643189,7388.514,0.001614015,0.017347415,28.39598808
2140,137.2643189,7388.514,0.001614015,0.017347415,28.39598808
2141,137.2643189,7388.514,0.001614015,0.017347415,28.39598808
2142,137.2643189,7388.514,0.001614015,0.017347415,28.39598808
2143,137.2643189,7388.514,0.001614015,0.017347415,28.39598808
2144,137.2643189,7388.514,0.001614015,0.017347415,28.39598808
2145,137.2643189,7388.514,0.001614015,0.017347415,28.39598808
2146,137.2643189,7388.514,0.001614015,0.017347415,28.39598808
2147,137.2643189,7388.514,0.001614015,0.017347415,28.39598808
2148,137.2643189,7388.514,0.001614015,0.017347415,28.39598808
2149,137.2643189,7388.514,0.001614015,0.017347415,28.39598808
2150,137.2643189,7388.514,0.001614015,0.017347415,28.39598808
2151,137.0905704,7324.62886,0.001615477,0.017342313,28.1120282
2152,136.9137644,7260.74372,0.001616969,0.017337117,27.82806832
2153,136.7338194,7196.85858,0.001618492,0.017331825,27.54410843
2154,136.5506512,7132.97344,0.001620046,0.017326435,27.26014855
2155,136.3641722,7069.0883,0.001621632,0.017320943,26.97618867
2156,136.1742921,7005.20316,0.001623252,0.017315346,26.69222879
2157,135.9809167,6941.31802,0.001624906,0.017309641,26.40826891
2158,135.7839488,6877.43288,0.001626596,0.017303826,26.12430903
2159,135.5832873,6813.54774,0.001628322,0.017297897,25.84034915
2160,135.3788273,6749.6626,0.001630087,0.017291851,25.55638927
2161,135.1704599,6685.77746,0.00163189,0.017285684,25.27242939
2162,134.958072,6621.89232,0.001633734,0.017279392,24.98846951
2163,134.7415462,6558.00718,0.001635621,0.017272972,24.70450963
2164,134.5207602,6494.12204,0.00163755,0.01726642,24.42054975
2165,134.2955872,6430.2369,0.001639524,0.017259731,24.13658987
2166,134.0658951,6366.35176,0.001641545,0.017252901,23.85262998
2167,133.8315463,6302.46662,0.001643614,0.017245927,23.5686701
2168,133.592398,6238.58148,0.001645733,0.017238802,23.28471022
2169,133.3483011,6174.69634,0.001647903,0.017231523,23.00075034
2170,133.0991004,6110.8112,0.001650127,0.017224083,22.71679046
2171,132.8446341,6046.92606,0.001652407,0.017216479,22.43283058
2172,132.5847336,5983.04092,0.001654744,0.017208704,22.1488707
2173,132.3192229,5919.15578,0.001657142,0.017200752,21.86491082
2174,132.0479184,5855.27064,0.001659601,0.017192617,21.58095094
